date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:32	44494/44494	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:46:53%20GMT	https://metahero.io/	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/index.html	(from )
17:50:32	117/117	---M-Z	200	added ('OK')	text/plain	etag:%226a-5c4cc3a9e96fd-gzip%22	https://metahero.io/robots.txt		(from )
17:50:32	5202/5202	---M--	200	added ('OK')	image/png	etag:%221452-5c5476568c2ec%22	https://metahero.io/apple-icon-57x57.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-57x57.png	(from https://metahero.io/)
17:50:33	5502/5502	---M--	200	added ('OK')	image/png	etag:%22157e-5c5476568c2ec%22	https://metahero.io/apple-icon-60x60.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-60x60.png	(from https://metahero.io/)
17:50:33	7049/7049	---M--	200	added ('OK')	image/png	etag:%221b89-5c5476568c2ec%22	https://metahero.io/apple-icon-72x72.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-72x72.png	(from https://metahero.io/)
17:50:33	7583/7583	---M--	200	added ('OK')	image/png	etag:%221d9f-5c5476568c2ec%22	https://metahero.io/apple-icon-76x76.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-76x76.png	(from https://metahero.io/)
17:50:33	13665/13665	---M--	200	added ('OK')	image/png	etag:%223561-5c5476568b34c%22	https://metahero.io/apple-icon-114x114.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-114x114.png	(from https://metahero.io/)
17:50:34	14835/14835	---M--	200	added ('OK')	image/png	etag:%2239f3-5c5476568b34c%22	https://metahero.io/apple-icon-120x120.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-120x120.png	(from https://metahero.io/)
17:50:34	20150/20150	---M--	200	added ('OK')	image/png	etag:%224eb6-5c5476568b34c%22	https://metahero.io/apple-icon-144x144.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-144x144.png	(from https://metahero.io/)
17:50:34	21493/21493	---M--	200	added ('OK')	image/png	etag:%2253f5-5c5476568c2ec%22	https://metahero.io/apple-icon-152x152.png	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/apple-icon-152x152.png	(from https://metahero.io/)
